ID,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,Total
80,5,5,5,5,5,5,5,5,5,5,50
81,3,3,4,3,3,3,4,3,3,3,32
82,4,4,5,4,4,4,5,4,4,4,42
83,2,2,3,2,2,3,2,2,2,2,22
84,5,4,5,4,5,4,5,4,5,5,46
85,4,4,3,4,4,4,3,4,4,4,38
86,3,3,2,3,3,2,3,3,3,3,28
87,4,4,4,4,4,4,4,4,4,4,40
88,4,3,4,3,4,3,4,3,4,3,35
89,2,1,2,2,1,2,2,1,2,2,17
90,5,5,5,5,5,5,5,5,5,5,50
91,3,3,3,3,3,3,3,3,3,3,30
92,4,4,4,4,4,4,4,4,4,4,40
93,3,2,3,2,3,2,3,2,3,3,26
94,5,4,5,4,5,4,5,4,5,4,45
95,4,4,4,4,4,4,4,4,4,4,40
96,2,3,2,3,2,3,2,3,2,3,25
97,4,4,5,4,4,4,5,4,4,5,43
98,4,3,4,3,4,3,4,3,4,4,36
99,3,3,2,3,3,2,3,3,3,3,28
100,5,5,5,5,5,5,5,5,5,5,50
101,3,3,3,3,3,3,3,3,3,3,30
102,4,4,4,4,4,4,4,4,4,4,40
103,2,2,2,2,2,2,2,2,2,2,20
104,5,4,5,4,5,4,5,4,5,5,46
105,4,3,4,3,4,3,4,3,4,4,36
106,3,2,3,2,3,2,3,2,3,3,26
107,4,4,4,4,4,4,4,4,4,4,40
108,4,3,4,4,3,4,4,3,4,4,37
109,2,2,1,2,2,1,2,2,1,2,17
110,5,5,5,5,5,5,5,5,5,5,50
111,3,3,4,3,3,3,4,3,3,3,32
112,4,4,5,4,4,4,5,4,4,4,42
113,2,2,3,2,2,3,2,2,2,2,22
114,5,4,5,4,5,4,5,4,5,5,46
115,4,4,3,4,4,4,3,4,4,4,38
116,3,3,2,3,3,2,3,3,3,3,28
117,4,4,4,4,4,4,4,4,4,4,40
118,4,3,4,3,4,3,4,3,4,3,35
119,2,1,2,2,1,2,2,1,2,2,17
120,5,5,5,5,5,5,5,5,5,5,50
